media	title	n_facebook	o_facebook	total	org_url	thumbnail
kh	“10년내 언어장벽 사라진다”···실시간 통역 이어폰 등장 예고	16639	394	17033	http://bizn.khan.co.kr/khan_art_view.html?artid=201602011611211&code=920100&med=khan	http://imgnews.naver.net/image/origin/032/2016/02/01/2672953.jpg
sbs	애플 플러그, 감전 위험 리콜…한국 아이폰 대부분 해당할 듯	0	17022	17022	http://news.sbs.co.kr/news/endPage.do?news_id=N1003388874	http://imgnews.naver.net/image/origin/055/2016/01/29/372532.jpg
chosun	술 마시면 행복해진다' 속설, 수치로 입증됐네	0	16277	16277	http://news.chosun.com/site/data/html_dir/2016/05/27/2016052700261.html	none
ytn	제주 폭설이 낳은 웃지 못할 '멘붕' 사연들	0	16271	16271	http://www.ytn.co.kr/_ln/0103_201601271930154999	http://imgnews.naver.net/image/origin/052/2016/01/27/765846.jpg
chosun	서울지하철 7호선, '불금'엔 24시간 운행?	0	16121	16121	http://news.chosun.com/site/data/html_dir/2016/03/11/2016031102408.html	none
ohmynews	결국 울먹인 은수미, 그의 마지막 발언은?	117	15883	16000	http://www.ohmynews.com/NWS_Web/View/at_pg_w.aspx?CNTN_CD=A0002184556	http://imgnews.naver.net/image/origin/047/2016/02/24/2108167.jpg
ohmynews	최악의 대통령을 만났다, 불행하게도	102	15723	15825	http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002182656	http://imgnews.naver.net/image/origin/047/2016/02/17/2107622.jpg
sbs	육군 장병 휴가중 독립기념관 방문하면 휴가 하루 더준다	3	15666	15669	http://news.sbs.co.kr/news/endPage.do?news_id=N1003594693	none
ohmynews	[카드뉴스] 이게 일장기 아니고 일출로 보이나요?	61	15339	15400	http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002173178	http://imgnews.naver.net/image/origin/047/2016/01/05/2104899.jpg
ytn	한국에 '원나잇' 하려고 입국했던 외국인 남성의 근황	1128	14168	15296	http://www.ytn.co.kr/_ln/0104_201606021330091625	http://imgnews.naver.net/image/origin/052/2016/06/02/851128.jpg
ytn	안중근 의사 모르는데? 설현 '한국 홍보대사' 자격 논란	465	14566	15031	http://www.ytn.co.kr/_sn/0117_201605151820069236	http://imgnews.naver.net/image/origin/052/2016/05/15/838627.jpg
ohmynews	"이제 일본을 용서해주자" 정대협 앞에 등장한 '엄마부대'	68	14922	14990	http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002172932	http://imgnews.naver.net/image/origin/047/2016/01/04/2104825.jpg
chosun	만11세'에 김연아의 최연소 우승 갈아치운 피겨 신동	0	14719	14719	http://news.chosun.com/site/data/html_dir/2016/01/10/2016011001680.html	http://imgnews.naver.net/image/origin/023/2016/01/10/3120943.jpg
ohmynews	"야당과 함께 싸웁시다, 국회 방청하러 갑시다"	17	14535	14552	http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002184538	http://imgnews.naver.net/image/origin/047/2016/02/24/2108161.jpg
ohmynews	부산대 교수들 일냈다 예산 삭감에 "120만원 갹출"	34	14385	14419	http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002174447	http://imgnews.naver.net/image/origin/047/2016/01/11/2105293.jpg
sbs	임성기 한미약품 회장, 전직원에 1천100억 주식 증여	0	14283	14283	http://news.sbs.co.kr/news/endPage.do?news_id=N1003342726	http://imgnews.naver.net/image/origin/055/2016/01/04/364198.jpg
kh	[4·13 선거혁명 시동 건 야권 ‘정책 공조’]야 3당 ‘공통 공약’ 18개…이것만 지켜도 대한민국 바뀐다	13	14181	14194	http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201604172338035&code=910402	http://imgnews.naver.net/image/origin/032/2016/04/17/2692350.jpg
jtbc	[단독] 전경련, 어버이연합에 4억 추가 지원 드러나	147	13516	13663	http://news.jtbc.joins.com/article/article.aspx?news_id=NB11221197	http://imgnews.naver.net/image/origin/437/2016/04/25/116371.jpg
sbs	[취재파일] 강정마을에서 고개 숙인 해병대원들	331	13277	13608	http://news.sbs.co.kr/news/endPage.do?news_id=N1003552376	http://imgnews.naver.net/image/origin/055/2016/05/01/404005.jpg
ytn	코레일 기관사의 마음 찡한 마지막 안내방송	5	13490	13495	http://www.ytn.co.kr/_ln/0103_201605311610063135	http://imgnews.naver.net/image/origin/052/2016/05/31/849656.jpg
chosun	"그 여경 당장 잘라"… 의령경찰서에 무슨일이	4	13264	13268	http://news.chosun.com/site/data/html_dir/2016/03/05/2016030500159.html	http://imgnews.naver.net/image/origin/023/2016/03/05/3150671.jpg
chosun	10萬이 추천한 '매켄지 체조'… 거북목증후군 막는다	8894	4315	13209	http://news.chosun.com/site/data/html_dir/2016/01/07/2016010700354.html	http://imgnews.naver.net/image/origin/023/2016/01/07/3119090.jpg
yonhap	더민주-국민의당, '국정교과서 폐기결의안' 추진…첫 공조	13012	0	13012	http://www.yonhapnews.co.kr/bulletin/2016/04/16/0200000000AKR20160416042900001.HTML	http://imgnews.naver.net/image/origin/001/2016/04/16/8337752.jpg
jtbc	[단독] 전경련, 어버이연합에 거액 입금 의혹…확인해보니	1088	11713	12801	http://news.jtbc.joins.com/article/article.aspx?news_id=NB11217099	http://imgnews.naver.net/image/origin/437/2016/04/19/115830.jpg
chosun	삼성전자 조직문화 혁신 선언…"불필요한 보고, 야근 없앤다"	2712	9614	12326	http://news.chosun.com/site/data/html_dir/2016/03/24/2016032401938.html	http://imgnews.naver.net/image/origin/023/2016/03/24/3157402.jpg
kh	[20대 총선 화제의 인물]전현희 ‘강남벨트’ 뚫었다	0	12164	12164	http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201604140100005&code=910110	http://imgnews.naver.net/image/origin/032/2016/04/14/2691538.jpg
mk	사라진 軍 침대…혈세 6조8천억 쏟아붓고도 `내무반 현대화` 못끝내	3231	8730	11961	http://news.mk.co.kr/newsRead.php?year=2016&no=241285	http://imgnews.naver.net/image/origin/009/2016/04/01/3707773.jpg
kh	[사설]박정희 찬양가로 가득한 초등 국정 역사교과서	239	11702	11941	http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201602292027055&code=990101	none
nocut	세월호 반대 집회 '알바 동원' 의혹 사실로 드러나	4	11821	11825	http://cbs.kr/X50C0m	http://imgnews.naver.net/image/origin/079/2016/04/11/2819172.jpg
