media	title	n_facebook	o_facebook	total	org_url	thumbnail
yonhap	명색이 베스트셀러 시인인데'…최영미 "생활보조금 받아요"	6239	97	6336	http://www.yonhapnews.co.kr/bulletin/2016/05/18/0200000000AKR20160518107700005.HTML	http://imgnews.naver.net/image/origin/001/2016/05/18/8410353.jpg
kbs	[단독] “교사가 어린이 8명 학대”…경찰 수사	6133	0	6133	http://news.kbs.co.kr:80/news/view.do?ncd=3222970	http://imgnews.naver.net/image/origin/056/2016/01/27/10278954.jpg
joins	하버드 교수가 말하는 '걱정 없애는 5가지 방법'	5243	729	5972	http://news.joins.com/article/19598458	http://imgnews.naver.net/image/origin/025/2016/02/19/2598143.jpg
joins	전세계 27명에게 새삶주고 떠난 제주 소녀 유나	2577	3270	5847	http://news.joins.com/article/19485362	http://imgnews.naver.net/image/origin/025/2016/01/27/2591314.jpg
joins	[매거진M] 저기 있는 포스터가 정녕 제 자식이란 말입니까!	0	5841	5841	http://news.joins.com/article/19819955	http://imgnews.naver.net/image/origin/025/2016/04/01/2608576.jpg
yonhap	지하철 7호선 장암∼온수 구간 '불금'엔 24시간 운행(종합)	5770	0	5770	http://www.yonhapnews.co.kr/bulletin/2016/03/11/0200000000AKR20160311061951004.HTML	http://imgnews.naver.net/image/origin/001/2016/03/11/8246540.jpg
kbs	경찰, 오늘 밤 전국에서 음주운전 일제 단속	0	5489	5489	http://news.kbs.co.kr:80/news/view.do?ncd=3294830	http://imgnews.naver.net/image/origin/056/2016/06/14/10327678.jpg
mk	사진 140억장 지키려는 싸이월드의 마지막 보루	47	5420	5467	http://news.mk.co.kr/newsRead.php?year=2016&no=104787	http://imgnews.naver.net/image/origin/009/2016/02/05/3677963.jpg
nocut	[영상] 유엔 특별보고관 "한국, 집회·결사의 자유 후퇴 중"	9	5338	5347	http://cbs.kr/HfZI0m	http://imgnews.naver.net/image/origin/079/2016/01/30/2794811.jpg
nocut	하노이 국숫집에 나타난 미국 대통령이 부러운가?	71	5258	5329	http://cbs.kr/w9Xk2K	http://imgnews.naver.net/image/origin/079/2016/05/24/2832992.jpg
mk	朴대통령 내가 직접 `인공지능 R&D` 챙기겠다	4654	634	5288	http://news.mk.co.kr/newsRead.php?year=2016&no=203294	http://imgnews.naver.net/image/origin/009/2016/03/17/3699571.jpg
nocut	"떡볶이가 성매매 화대라니…지적장애 내딸 어쩌나"	97	5075	5172	http://cbs.kr/f5Xk2K	http://imgnews.naver.net/image/origin/079/2016/05/13/2829617.jpg
mbc	체감 -28도' 초고층빌딩 공사현장, "냉동고가 더 따뜻"	4848	0	4848	http://imnews.imbc.com/replay/2016/nwdesk/article/3865797_19842.html	http://imgnews.naver.net/image/origin/214/2016/01/23/583718.jpg
mk	‘라이언’ 이모티콘 준다는 가짜 페이지에 7만명 속아	1136	3600	4736	http://news.mk.co.kr/newsRead.php?year=2016&no=159336	http://imgnews.naver.net/image/origin/009/2016/02/29/3690075.jpg
mbc	[집중취재] '간호부터 간병까지' 간호사가 책임진다	131	4538	4669	http://imnews.imbc.com/replay/2016/nwdesk/article/3898397_19842.html	http://imgnews.naver.net/image/origin/214/2016/03/11/598002.jpg
mbc	[엠빅뉴스] 어느 재벌 회장님의 유언장	36	4627	4663	http://imnews.imbc.com/n_newssas/n_story/n_story/3898312_17081.html	http://imgnews.naver.net/image/origin/214/2016/03/11/597942.jpg
mbc	[단독] '한반도 전역 감시' 中 초대형레이더 첫 포착	2751	1800	4551	http://imnews.imbc.com/replay/2016/nwdesk/article/3884296_19842.html	http://imgnews.naver.net/image/origin/214/2016/02/19/591325.jpg
yonhap	문재인-심상정 회동…'범야권 전략협의체' 구성 합의	846	3636	4482	http://www.yonhapnews.co.kr/bulletin/2016/01/25/0200000000AKR20160125109200001.HTML	http://imgnews.naver.net/image/origin/001/2016/01/25/8142200.jpg
kbs	‘일하는 스웨덴 국회’…국민 “무한 신뢰”	4295	158	4453	http://news.kbs.co.kr:80/news/view.do?ncd=3223665	http://imgnews.naver.net/image/origin/056/2016/01/28/10279438.jpg
mk	청년 창업의욕 꺾은 국회의원발 중고차 시장 대못규제	3520	828	4348	http://news.mk.co.kr/newsRead.php?year=2016&no=3743	none
yonhap	애플, 독도를 '일본섬'으로 표기…한국 주장 외면	2837	1508	4345	http://www.yonhapnews.co.kr/bulletin/2016/06/24/0200000000AKR20160624074800017.HTML	http://imgnews.naver.net/image/origin/001/2016/06/24/8495243.jpg
yonhap	"학계 수수께끼 '노는 개미'는 집단의 장기존속 수단"	61	4216	4277	http://www.yonhapnews.co.kr/bulletin/2016/02/17/0200000000AKR20160217075800009.HTML	http://imgnews.naver.net/image/origin/001/2016/02/17/8190957.jpg
donga	[단독]절대평가 도입한 연세대 의대의 성공… “성적도 협동심도 쑥쑥”	1657	2569	4226	http://news.donga.com/3/all/20160407/77443981/1	http://imgnews.naver.net/image/origin/020/2016/04/07/2962258.jpg
yonhap	나경원, '딸 대학 부정입학 의혹' 기사에 형사소송(종합)	4191	0	4191	http://www.yonhapnews.co.kr/bulletin/2016/03/18/0200000000AKR20160318161451001.HTML	http://imgnews.naver.net/image/origin/001/2016/03/18/8265121.jpg
kbs	청년 노력을 헐값에…저작권 가로채는 공모전	4134	41	4175	http://news.kbs.co.kr:80/news/view.do?ncd=3277160	http://imgnews.naver.net/image/origin/056/2016/05/10/10315750.jpg
donga	[단독]멀쩡한 컴퓨터 3000대 몽땅 바꾸는 20대 국회	3163	972	4135	http://news.donga.com/3/all/20160524/78300545/1	http://imgnews.naver.net/image/origin/020/2016/05/25/2974845.jpg
yonhap	정부, 일본 수산물 방사능 평가결과 비공개 결정	4096	0	4096	http://www.yonhapnews.co.kr/bulletin/2016/04/05/0200000000AKR20160405180300004.HTML	http://imgnews.naver.net/image/origin/001/2016/04/06/8310011.jpg
yonhap	朴대통령 "남은 임기 할 수 있는 모든 것 해낼 것"	3287	789	4076	http://www.yonhapnews.co.kr/bulletin/2016/01/05/0200000000AKR20160105091300001.HTML	http://imgnews.naver.net/image/origin/001/2016/01/05/8095367.jpg
mbc	[여론조사] 국민 67.8% "한반도에 사드 배치해야"	908	3100	4008	http://imnews.imbc.com/replay/2016/nwdesk/article/3875706_19842.html	http://imgnews.naver.net/image/origin/214/2016/02/08/588311.jpg
mk	젠트리피케이션 충격에 텅 빈 홍대 상가	3878	50	3928	http://news.mk.co.kr/newsRead.php?year=2016&no=24544	http://imgnews.naver.net/image/origin/009/2016/01/10/3661540.jpg
edaily	[문화대상 최우수작⑥] 콘서트 `이승환 빠데이 26년`	3570	0	3570	http://www.edaily.co.kr/news/NewsRead.edy?SCD=JI51&newsid=01269366612549536&DCD=A405&OutLnkChk=Y	http://imgnews.naver.net/image/origin/018/2016/02/11/3472481.jpg
kbs	또 여성 상대 강력범죄…인천 골목서 흉기 휘둘러	33	3525	3558	http://news.kbs.co.kr:80/news/view.do?ncd=3290600	http://imgnews.naver.net/image/origin/056/2016/06/05/10324914.jpg
mbc	신송산업 '썩은 밀가루' 파동 "회사 지시로 섞었다"	124	3430	3554	http://imnews.imbc.com/replay/2016/nwdesk/article/3960959_19842.html	http://imgnews.naver.net/image/origin/214/2016/05/03/615152.jpg
donga	[토요기획]美서 이공계 박사 학위 한국인 60% “미국에 남겠다”	2974	541	3515	http://news.donga.com/3/all/20160116/75929326/1	http://imgnews.naver.net/image/origin/020/2016/01/16/2931619.jpg
edaily	[제3회이데일리문화대상]콘서트부문 `이승환 빠데이 26년` 최우수상	3411	0	3411	http://www.edaily.co.kr/news/NewsRead.edy?SCD=JI51&newsid=04155766612552160&DCD=A405&OutLnkChk=Y	http://imgnews.naver.net/image/origin/018/2016/02/19/3481416.jpg
mbc	[집중취재] 체납은 집주인이, 납부는 세입자가?	3272	106	3378	http://imnews.imbc.com/replay/2016/nwdesk/article/3958809_19842.html	http://imgnews.naver.net/image/origin/214/2016/05/01/614539.jpg
donga	[글로벌 피플/단독]모든 걸 다 가진 것 같은 그녀, 인터뷰 도중 눈물 쏟아내다	2181	1153	3334	http://news.donga.com/3/all/20160514/78088299/1	http://imgnews.naver.net/image/origin/020/2016/05/14/2972059.jpg
donga	[인사말 전문포함]오창석, 인재영입 16호로 ‘더불어민주당’ 입당	0	3294	3294	http://economy.donga.com/3/all/20160121/76043817/3	http://imgnews.naver.net/image/origin/020/2016/01/21/2934464.jpg
mbc	[현장M출동] 외국인 '대포차' 도로 위 활개, 집중단속	341	2951	3292	http://imnews.imbc.com/replay/2016/nwdesk/article/3889655_19842.html	http://imgnews.naver.net/image/origin/214/2016/02/27/594329.jpg
mbc	걸어서만 다니는 '차 없는 도시' 15년, 실험 성공	2140	1083	3223	http://imnews.imbc.com/replay/2016/nwdesk/article/3867766_19842.html	http://imgnews.naver.net/image/origin/214/2016/01/26/584508.jpg
donga	[단독] 문재인 “총선 패배땐 사실상 정계은퇴”	3132	27	3159	http://news.donga.com/3/all/20160120/76011296/1	http://imgnews.naver.net/image/origin/020/2016/01/20/2933417.jpg
kbs	“개성공단 현금, ‘대량살상무기 사용’ 자료 있다”	1	3095	3096	http://news.kbs.co.kr:80/news/view.do?ncd=3231396	http://imgnews.naver.net/image/origin/056/2016/02/12/10284783.jpg
kbs	[단독] “옥시, ‘임신부·태아 치명적’ 실험 결과 은폐”	2984	103	3087	http://news.kbs.co.kr:80/news/view.do?ncd=3267780	http://imgnews.naver.net/image/origin/056/2016/04/21/10309351.jpg
donga	경찰 “강남역 묻지마, 여성 혐오 살인 아냐…심각한 정신분열증에 의한 범행에 무게”	203	2759	2962	http://news.donga.com/3/all/20160519/78184044/1	http://imgnews.naver.net/image/origin/020/2016/05/19/2973467.jpg
donga	미세먼지 줄이려 경유값 인상 추진	423	2479	2902	http://news.donga.com/3/all/20160519/78176369/1	none
kbs	[연예수첩] 연예가 핫 뉴스! ‘Double S 301’로 컴백	2745	67	2812	http://news.kbs.co.kr:80/news/view.do?ncd=3215902	http://imgnews.naver.net/image/origin/056/2016/01/15/10273927.jpg
